"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Floor.area.Ratio...","quarter.1","Year","Age","IsNew","Stationgroup","Areagroup"
"1451","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",6,"No_information",59393.9393939394,"Rectangular Shaped",16,70,1978,"S","House","No_information","East","City Road",4,"Non-divided City Planning Area",200,"3rd",2008,30,0,"2","1"
"1452","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",13,"3LDK",118571.428571429,"No_information",0,0,1990,"SRC","House","No_information","No_information","No_information",0,"Quasi-industrial Zone",200,"1st",2011,21,0,"3","2"
"1453","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachomatsusaki","Takuma",3,"No_information",28070.1754385965,"Semi-shaped",27,135,1993,"W","House","House","West","Prefectural Road",4,"Non-divided City Planning Area",200,"4th",2019,26,0,"1","1"
"1454","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Ritsurincho","Ritsurinkoen",7,"2LDK",320000,"No_information",0,0,2008,"RC","House","House","No_information","No_information",0,"Commercial Zone",400,"3rd",2019,11,0,"4","2"
"1455","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachokawahigashikami","Kukodori",90,"No_information",40540.5405405405,"Semi-rectangular Shaped",11,90,1984,"W","House","No_information","East","City Road",6.5,"Category I Exclusively Low-story Residential Zone",100,"2nd",2009,25,0,"2","1"
"1456","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichoshimmyo","Hashioka",60,"3LDK",115384.615384615,"No_information",0,0,1992,"RC","House","No_information","No_information","No_information",0,"Category I Residential Zone",0,"3rd",2008,16,0,"3","1"
"1457","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Gotocho","Kozai",14,"4LDK",107142.857142857,"No_information",0,0,1990,"RC","House","House","No_information","No_information",0,"Quasi-industrial Zone",200,"4th",2014,24,0,"3","1"
"1458","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",9,"4LDK",42857.1428571429,"No_information",0,0,1974,"RC","House","House","No_information","No_information",0,"Category I Residential Zone",200,"4th",2017,43,0,"3","2"
"1459","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Minamigamo","Tadotsu",21,"No_information",34883.7209302326,"Semi-rectangular Shaped",16,210,1998,"W","House","No_information","Southeast","Town Road",3.5,"Category I Exclusively Low-story Residential Zone",100,"4th",2009,11,0,"2","1"
"1460","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otakamimachi","Ota (Takamatsu)",5,"No_information",19354.8387096774,"Semi-square Shaped",0,85,1965,"W","House","House","West","Road",1.8,"Category I Exclusively Low-story Residential Zone",100,"1st",2016,51,0,"4","2"
"1461","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Uedacho","Kan-onji (Kagawa)",22,"No_information",109523.80952381,"Rectangular Shaped",11,140,2012,"W","House","House","Southwest","Private Road",5,"Non-divided City Planning Area",200,"1st",2016,4,0,"2","2"
"1462","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",60,"3LDK",61333.3333333333,"No_information",0,0,1995,"RC","House","No_information","No_information","No_information",0,"Category I Residential Zone",200,"3rd",2016,21,0,"3","2"
"1463","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Mii","Konzoji",60,"No_information",25000,"Rectangular Shaped",12.4,160,1989,"W, LS","House","House","South","Road",5,"Non-divided City Planning Area",200,"4th",2017,28,0,"2","1"
"1464","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Sanjocho","Marugame",90,"No_information",58823.5294117647,"Semi-square Shaped",11.2,60,2001,"LS","House","House","Southwest","Private Road",4.3,"Non-divided City Planning Area",200,"3rd",2017,16,0,"2","1"
"1465","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Shindencho","Yashima",60,"No_information",137142.857142857,"Semi-shaped",16,105,2016,"W","House","House","South","Private Road",4.5,"Non-divided City Planning Area",100,"1st",2016,0,1,"3","2"
"1466","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Bancho","Takamatsu (Kagawa)",15,"No_information",70588.2352941177,"Irregular Shaped",7,90,1988,"RC","House","No_information","North","City Road",7,"Category II Exclusively Medium-high Residential Zone",200,"3rd",2010,22,0,"4","3"
"1467","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Okushirakata","Tadotsu",60,"No_information",43809.5238095238,"Trapezoidal Shaped",8.5,90,1993,"W","House","No_information","East","Private Road",4,"Non-divided City Planning Area",200,"4th",2013,20,0,"2","1"
"1468","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoasano","Kukodori",60,"No_information",18571.4285714286,"Irregular Shaped",3.8,100,1968,"W","House","No_information","East","Prefectural Road",8.5,"Neighborhood Commercial Zone",200,"4th",2013,45,0,"2","1"
"1469","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Oda","Shido",120,"No_information",2282.60869565217,"Semi-rectangular Shaped",13.5,125,1973,"W","House, Other","House","West","Road",2.7,"Outside City Planning Area",0,"4th",2014,41,0,"2","1"
"1470","Residential Land(Land and Building)","Residential Area","37406","Kagawa Prefecture","Manno Town,Nakatado County","Sumishonishi","Enai",120,"No_information",10789.4736842105,"Semi-shaped",24,95,1980,"W","House","House","Northeast","Town Road",10,"Outside City Planning Area",0,"1st",2018,38,0,"1","1"
"1471","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kawanabecho","Enza",18,"No_information",54166.6666666667,"Rectangular Shaped",19.4,130,1993,"LS","House","House","West","City Road",4.1,"Non-divided City Planning Area",100,"2nd",2019,26,0,"3","1"
"1472","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Yamanokitacho","Marugame",25,"No_information",41714.2857142857,"Trapezoidal Shaped",16.6,65,1969,"W","House","No_information","Northwest","City Road",4,"Category I Residential Zone",200,"3rd",2009,40,0,"2","2"
"1473","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Saihocho","No_station",999,"3LDK",96000,"No_information",0,0,1977,"SRC","House","No_information","No_information","No_information",0,"Category I Exclusively Medium-high Residential Zone",200,"2nd",2007,30,0,"1","2"
"1474","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Ikeda","No_station",999,"No_information",24242.4242424242,"Semi-shaped",18.3,220,1935,"W","House","No_information","Southwest","Town Road",2.5,"Outside City Planning Area",0,"3rd",2013,78,0,"1","1"
"1475","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Nishikimachi","Takamatsu (Kagawa)",3,"4LDK",342857.142857143,"No_information",0,0,2006,"RC","House","House","No_information","No_information",0,"Commercial Zone",400,"2nd",2017,11,0,"4","3"
"1476","Residential Land(Land and Building)","Commercial Area","37202","Kagawa Prefecture","Marugame City","Haradacho","Marugame",60,"No_information",28125,"Semi-trapezoidal Shaped",17,185,1973,"SRC","House, Shop","Office","Northwest","Prefectural Road",14,"Quasi-industrial Zone",200,"1st",2020,47,0,"2","1"
"1477","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kozaikitamachi","Kozai",60,"No_information",1e+05,"Semi-rectangular Shaped",13,120,2010,"W","House","No_information","South","City Road",4,"Non-divided City Planning Area",200,"2nd",2010,0,1,"3","1"
"1478","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Imajimmachi","Kataharamachi (Takamatsu)",6,"No_information",130000,"Rectangular Shaped",7.6,145,1935,"RC","House","Shop","North","City Road",11,"Commercial Zone",500,"4th",2016,81,0,"4","2"
"1479","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kasugagawa",6,"3LDK",186666.666666667,"No_information",0,0,2005,"RC","House","House","No_information","No_information",0,"Quasi-industrial Zone",200,"1st",2015,10,0,"4","2"
"1480","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Nagaonishi","Nagao (Takamatsu)",6,"No_information",25000,"Semi-trapezoidal Shaped",10,125,1988,"W","House","Other","South","City Road",3.5,"Non-divided City Planning Area",200,"3rd",2015,27,0,"3","1"
"1481","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Motoyama (Takamatsu)",15,"No_information",34285.7142857143,"Semi-rectangular Shaped",26,100,1970,"W","House","No_information","East","City Road",4,"Category I Residential Zone",200,"2nd",2011,41,0,"3","2"
"1482","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kasugacho","Kasugagawa",11,"No_information",7317.07317073171,"Semi-rectangular Shaped",0,115,1975,"W","House","House","North","Private Road",5.7,"Industrial Zone",200,"2nd",2020,45,0,"4","1"
"1483","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Hiragi","Hiragi",12,"No_information",113333.333333333,"Semi-rectangular Shaped",18,115,2019,"W","House","House","South","Private Road",6,"Non-divided City Planning Area",200,"1st",2019,0,1,"3","2"
"1484","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",9,"3LDK",46153.8461538462,"No_information",0,0,1974,"RC","House","House","No_information","No_information",0,"Category I Residential Zone",200,"2nd",2020,46,0,"3","2"
"1485","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachokawahigashishimo","Kukodori",90,"No_information",131428.571428571,"Semi-rectangular Shaped",8,130,2012,"W","House","No_information","East","Private Road",4.8,"Category II Residential Zone",200,"4th",2011,-1,0,"2","1"
"1486","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Ota (Takamatsu)",60,"No_information",142105.263157895,"Semi-rectangular Shaped",12.5,125,2012,"W","House","No_information","South","Private Road",4.5,"Category I Residential Zone",200,"4th",2011,-1,0,"4","2"
"1487","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Komadomecho","Sakaide",6,"No_information",34883.7209302326,"Semi-trapezoidal Shaped",16.3,55,1935,"W","House","House","North","Private Road",4,"Category I Exclusively Low-story Residential Zone",100,"1st",2016,81,0,"2","1"
"1488","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoasano","Kukodori",60,"No_information",111111.111111111,"Semi-shaped",17,105,2008,"W","House","No_information","North","Private Road",5,"Non-divided City Planning Area",200,"1st",2008,0,1,"2","1"
"1489","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Kabe","Shido",90,"No_information",3913.04347826087,"Semi-rectangular Shaped",20,185,1935,"W","House","No_information","East","City Road",2.5,"Outside City Planning Area",0,"4th",2007,72,0,"2","1"
"1490","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kasugacho","Mizuta",60,"No_information",86666.6666666667,"Irregular Shaped",13.4,100,1989,"W","House","No_information","East","City Road",3.5,"Non-divided City Planning Area",200,"4th",2009,20,0,"3","1"
"1491","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","(No Address)","No_station",999,"No_information",90476.1904761905,"Irregular Shaped",25,120,1997,"W","House","No_information","North","Town Road",5.7,"Non-divided City Planning Area",200,"1st",2012,15,0,"1","1"
"1492","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Hikami","Nogakubumae",8,"No_information",104545.454545455,"Irregular Shaped",7.5,100,2016,"W","House","House","Southeast","Private Road",4.5,"Non-divided City Planning Area",80,"1st",2016,0,1,"2","1"
"1493","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Mitanicho","Busshozan",60,"No_information",22972.972972973,"Semi-rectangular Shaped",37,200,1958,"W","House, Other","Shop","East","Prefectural Road",10,"Non-divided City Planning Area",100,"3rd",2018,60,0,"3","2"
"1494","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Kukodori",60,"No_information",118918.918918919,"Semi-rectangular Shaped",10.5,115,2019,"No_information","House","House","West","Private Road",6,"Non-divided City Planning Area",200,"3rd",2018,-1,0,"2","1"
"1495","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",14,"No_information",118181.818181818,"Irregular Shaped",12.7,130,2010,"W","House","No_information","West","Private Road",5,"Non-divided City Planning Area",200,"1st",2010,0,1,"2","1"
"1496","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Marunouchi","Kataharamachi (Takamatsu)",3,"2LDK",2e+05,"No_information",0,0,2005,"SRC","House","House","No_information","No_information",0,"Commercial Zone",400,"3rd",2014,9,0,"4","2"
"1497","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Motoyama (Takamatsu)",28,"3LDK",105714.285714286,"No_information",0,0,1993,"RC","House","No_information","No_information","No_information",0,"Category II Exclusively Medium-high Residential Zone",200,"3rd",2012,19,0,"3","2"
"1498","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Gungecho","Konzoji",90,"No_information",145454.545454545,"Semi-square Shaped",13.5,105,2013,"W","House","No_information","South","Private Road",5,"Non-divided City Planning Area",200,"4th",2012,-1,0,"2","1"
"1499","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Matsushima 2-chome",13,"3LDK",80000,"No_information",0,0,1978,"RC","House","No_information","No_information","No_information",0,"Neighborhood Commercial Zone",300,"1st",2010,32,0,"3","2"
"1500","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitahigashiguchi",8,"No_information",142857.142857143,"Semi-rectangular Shaped",14,105,2010,"W","House","No_information","East","City Road",5,"Category I Exclusively Low-story Residential Zone",100,"3rd",2010,0,1,"3","2"
