"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"3430","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Konanchoyusa","Kukodori",90,NA,190,57894.7368421053,"Semi-square Shaped",14.5,120,1935,"W","House",NA,"West","Road",5,"Non-divided City Planning Area",70,200,"1st",2014
"4334","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Sakate","No_station",NA,NA,240,3541.66666666667,"Irregular Shaped",23,180,1935,"W","House","House","West","Road",1.4,"Non-divided City Planning Area",70,200,"2nd",2014
"2707","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",14,NA,260,26153.8461538462,"Semi-shaped",15,105,1935,"W","House","Warehouse","South","City Road",6,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2016
"8668","Residential Land(Land and Building)","Residential Area","37387","Kagawa Prefecture","Ayagawa Town,Ayauta County","Yamadashimo","Sue",60,NA,290,13793.1034482759,"Irregular Shaped",5,130,1935,"W","House",NA,"Northeast","Road",2.5,"Outside City Planning Area",NA,NA,"4th",2007
"2670","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",19,NA,185,54054.0540540541,"Semi-square Shaped",13.5,80,1935,"W","House","House","South","City Road",6,"Category I Exclusively Low-story Residential Zone",60,100,"1st",2020
"7768","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Sanjo (Takamatsu)",6,"4LDK",100,3e+05,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category II Exclusively Medium-high Residential Zone",60,200,"3rd",2008
"3792","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",24,"4LDK",80,150000,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category I Residential Zone",60,200,"3rd",2010
"4685","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tsuruichicho","Kozai",8,NA,145,158620.689655172,"Semi-rectangular Shaped",12,90,1935,"W","House",NA,"Northeast","City Road",5.2,"Category I Residential Zone",60,200,"2nd",2011
"4818","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Toyonakachokasadakasaoka","Hijidai",19,NA,135,7407.40740740741,"Semi-trapezoidal Shaped",14,65,1935,"W","House",NA,"Southwest","City Road",3.4,"Non-divided City Planning Area",70,200,"2nd",2010
"4214","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",6,NA,185,102702.702702703,"Semi-rectangular Shaped",18,140,1935,"W","House",NA,"West","Private Road",4,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd",2010
"7531","Pre-owned Condominiums, etc.",NA,"37202","Kagawa Prefecture","Marugame City","Joseicho","Marugame",9,"3LDK",75,160000,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Neighborhood Commercial Zone",80,300,"1st",2009
"7976","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichofuke","Hashioka",25,NA,120,31666.6666666667,"Semi-trapezoidal Shaped",11,110,1935,"W","House",NA,"Northwest","Private Road",4,"Non-divided City Planning Area",70,200,"4th",2008
"7517","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Iinochonishibun","Utazu",60,NA,230,156521.739130435,"Rectangular Shaped",14,NA,1935,NA,"House",NA,"Northwest","City Road",6,"Non-divided City Planning Area",70,200,"3rd",2009
